ROWNUM;FullName;ShortName;LegalAddress;ExamDate;SubjectName;PassedQuantity;AVGScore;global_id;
1;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2123 имени Мигеля Эрнандеса»";"ГБОУ школа № 2123 им. М. Эрнандеса";"121069, г. Москва, Столовый пер., д.10/2, стр.1";"29.05.2015";"Химия";"7";"3.86";"62819599";
2;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 953»";"ГБОУ школа № 953";"127349, г. Москва, Шенкурский проезд, дом 15";"29.05.2015";"Химия";"19";"4.11";"62819600";
3;"Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1290»";"ГБОУ гимназия № 1290";"105043, г. Москва, ул. Первомайская, д.59, строение 1";"07.09.2015";"Математика";"2";"2";"62819602";
4;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением английского языка № 1381»";"ГБОУ школа № 1381";"129346, г. Москва, Янтарный пр., д.2";"03.06.2015";"Русский язык";"166";"3.89";"62819603";
5;"Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1274 имени В.В.Маяковского»";"ГБОУ гимназия № 1274";"115088, г. Москва, ул. 1-я Дубровская, д. 16";"16.06.2015";"Русский язык";"1";"3";"62819604";
6;"Государственное бюджетное общеобразовательное учреждение города Москвы «Многопрофильный лицей № 1501»";"ГБОУ лицей № 1501";"127055, г. Москва, Тихвинский пер., д.3";"29.05.2015";"Химия";"83";"4.33";"62819606";
7;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 117»";"ГБОУ школа № 117";"117393, г. Москва, ул. Академика Пилюгина, дом 18, корпус 1";"05.06.2015";"География";"2";"4";"62819607";
8;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением английского языка № 1200»";"ГБОУ школа № 1200";"111673, г. Москва, Суздальская ул, 24 Б";"29.05.2015";"Химия";"7";"4.86";"62819608";
9;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1852";"ГБОУ СОШ № 1852";"111401, г. Москва, ул. 2-я Владимирская, дом 22 А";"27.05.2015";"Математика";"67";"3.99";"62819609";
10;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением экологии № 390 имени генерала П.И. Батова»";"ГБОУ школа № 390 имени генерала П.И. Батова";"107258, г. Москва, б-р Рокоссовского маршала, д. 34/2";"29.05.2015";"Информатика";"3";"4.67";"62819610";
11;"Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1797 «Богородская»";"ГБОУ гимназия № 1797 «Богородская»";"107258, г. Москва, ул. 3-я Гражданская, д.64";"18.06.2015";"Математика";"5";"3";"62819612";
12;"Государственное бюджетное общеобразовательное учреждение города Москвы школа с углубленным изучением отдельных предметов № 982 имени маршала бронетанковых войск П.П. Полубоярова";"ГБОУ школа № 982";"115304, г. Москва, ул.Кошкина, д.13, корп.2";"05.06.2015";"Иностранный язык (английский язык)";"4";"4.25";"62819613";
13;"Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1748 «Вертикаль»";"ГБОУ гимназия № 1748 «Вертикаль»";"105484, г. Москва, Сиреневый бульвар, д. 73, корп. 3";"17.06.2015";"История";"1";"4";"62819616";
14;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением иностранных языков № 1205»";"ГБОУ школа № 1205";"117335, г. Москва, улица Архитектора Власова, дом 19а";"17.06.2015";"История";"1";"4";"62819617";
15;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1770»";"ГБОУ школа № 1770";"115142, г. Москва, Коломенская наб., д.20";"17.06.2015";"Физика";"1";"4";"62819619";
16;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1450 «Олимп»";"ГБОУ школа № 1450 «Олимп»";"117556, г. Москва, ул. Фруктовая д.9";"03.06.2015";"Русский язык";"185";"4.03";"62819620";
17;"Государственное бюджетное общеобразовательное учреждение города Москвы «Лицей № 1828 «Сабурово»";"ГБОУ лицей № 1828 «Сабурово»";"115211, г. Москва, Каширское ш., д.55, корп.7";"05.06.2015";"Иностранный язык (английский язык)";"8";"4";"62819622";
18;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1883 «Бутово»";"ГБОУ школа № 1883 «Бутово»";"117042, г. Москва, улица Поляны, дом 53";"20.04.2015";"Математика";"1";"3";"62819623";
19;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 967»";"ГБОУ школа № 967";"127642, г. Москва, Сухонская ул., д.13";"07.09.2015";"Математика";"5";"2.4";"62819624";
20;"Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1290»";"ГБОУ гимназия № 1290";"105043, г. Москва, ул. Первомайская, д.59, строение 1";"16.06.2015";"Русский язык";"1";"3";"62819628";
21;"Государственное бюджетное общеобразовательное учреждение города Москвы «Лицей № 507»";"ГБОУ лицей № 507";"115446, г. Москва, ул.Садовники, д.12";"17.06.2015";"Биология";"1";"4";"62819629";
22;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 896»";"ГБОУ школа № 896";"115583, г. Москва, ул. Воронежская, д.26, корп.4";"29.05.2015";"Обществознание";"25";"3.28";"62819630";
23;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением иностранных языков № 1387»";"ГБОУ школа № 1387";"125465, г. Москва, ул. Соколово-Мещерская, д.27";"05.06.2015";"Иностранный язык (английский язык)";"16";"4.38";"62819632";
24;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением английского языка № 1200»";"ГБОУ школа № 1200";"111673, г. Москва, Суздальская ул, 24 Б";"05.06.2015";"Иностранный язык (английский язык)";"51";"4.55";"62819633";
25;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2121 «Образовательный комплекс имени Маршала Советского Союза С.К. Куркоткина»";"ГБОУ школа № 2121";"109386, г. Москва, ул. Ставропольская, дом 20";"10.06.2015";"Литература";"2";"3.5";"62819634";
26;"Государственное бюджетное образовательное учреждение Московская гимназия на Юго-Западе № 1543";"ГБОУ Московская гимназия на Юго-Западе № 1543";"119571, г. Москва, ул.26 Бакинских комиссаров, д.3, корп.5";"17.06.2015";"Биология";"1";"4";"62819636";
27;"Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 201 ордена Трудового Красного Знамени имени Героев Советского Союза Зои и Александра Космодемьянских»";"ГБОУ гимназия № 201";"125130, г. Москва, ул. Зои и Александра Космодемьянских, дом 3, корпус 1";"05.06.2015";"Иностранный язык (английский язык)";"9";"4.22";"62819637";
28;"Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1797 «Богородская»";"ГБОУ гимназия № 1797 «Богородская»";"107258, г. Москва, ул. 3-я Гражданская, д.64";"05.06.2015";"Иностранный язык (английский язык)";"23";"3.91";"62819638";
29;"Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1799 «Экополис»";"ГБОУ гимназия № 1799 «Экополис»";"107392, г. Москва, ул. Знаменская, д.12/4";"29.05.2015";"Обществознание";"25";"3.68";"62819639";
30;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1454 «Центр образования Тимирязевский»";"ГБОУ школа № 1454 «Центр образования Тимирязевский»";"127422, г. Москва, улица Тимирязевская, дом 14 ""А""";"17.06.2015";"География";"2";"4";"62819640";
31;"Государственное бюджетное общеобразовательное учреждение города Москвы «Лицей № 1575»";"ГБОУ лицей № 1575";"125319, г. Москва, ул.Усиевича, д.6";"17.06.2015";"Иностранный язык (английский язык)";"2";"5";"62819641";
32;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением английского языка № 1381»";"ГБОУ школа № 1381";"129346, г. Москва, Янтарный пр., д.2";"10.06.2015";"Информатика";"1";"5";"62819643";
33;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1566 «Марьинская гимназия с кадетскими классами памяти Героев Сталинградской битвы»";"ГБОУ школа № 1566";"109652, г. Москва, ул. Люблинская, д. 173А";"05.06.2015";"Физика";"11";"4";"62819645";
34;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 498»";"ГБОУ школа № 498";"115172, г. Москва, ул.Народная, д.11/2";"27.05.2015";"Математика";"167";"3.76";"62819646";
35;"Государственное бюджетное общеобразовательное учреждение города Москвы «Лицейско-гимназический комплекс на Юго-Востоке»";"ГБОУ ЛГК на Юго-Востоке";"109457, г. Москва, ул.Зеленодольская, д.32, корп.6";"29.05.2015";"Химия";"45";"4.89";"62819647";
36;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 399»";"ГБОУ школа № 399";"105425, г. Москва, ул. 5-я Парковая, д.49";"03.06.2015";"Русский язык";"50";"3.64";"62819649";
37;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 17»";"ГБОУ школа № 17";"117279, г. Москва, ул. Введенского, д.28";"05.06.2015";"Биология";"7";"4";"62819651";
38;"Государственное бюджетное общеобразовательное учреждение города Москвы «Центр образования № 1296»";"ГБОУ ЦО № 1296";"127591, г. Москва, Керамический проезд, дом 55, корпус 3";"24.04.2015";"Русский язык";"1";"5";"62819652";
39;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2126 «Перово»";"ГБОУ школа № 2126 «Перово»";"111524, г. Москва, ул.Плющева, д.11А";"17.06.2015";"Биология";"1";"4";"62819655";
40;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 967»";"ГБОУ школа № 967";"127642, г. Москва, Сухонская ул., д.13";"18.06.2015";"Математика";"4";"3.25";"62819656";
41;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2025»";"ГБОУ школа № 2025";"119361, г. Москва, ул. Б.Очаковская, д.42, корпус 2.";"07.08.2015";"Математика";"1";"3";"62819658";
42;"Государственное бюджетное общеобразовательное учреждение города Москвы «Многопрофильный лицей № 1799»";"ГБОУ Многопрофильный лицей № 1799";"115035, г. Москва, 1-й Кадашевский пер., дом 3, строение 1";"17.06.2015";"Иностранный язык (английский язык)";"2";"5";"62819659";
43;"Государственное бюджетное общеобразовательное учреждение города Москвы «Центр образования № 1601 имени Героя Советского Союза Е.К. Лютикова»";"ГБОУ ЦО № 1601 им. Героя Советского Союза Е.К. Лютикова";"127220, г. Москва, ул. Нижняя Масловка, д. 16";"17.06.2015";"Биология";"1";"4";"62819661";
44;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1194»";"ГБОУ школа № 1194";"124683, г. Москва, Зеленоград, корп. 1556";"10.06.2015";"Литература";"1";"4";"62819666";
45;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 199»";"ГБОУ школа № 199";"117036, г. Москва, ул.Дм.Ульянова, д.15, корп.1";"18.06.2015";"Математика";"3";"3";"62819667";
46;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением математики № 1360»";"ГБОУ школа № 1360";"107564, г. Москва, ул. Краснобогатырская, д. 21А";"14.09.2015";"Русский язык";"3";"2.67";"62819669";
47;"Государственное бюджетное общеобразовательное учреждение города Москвы школа с углубленным изучением отдельных предметов № 982 имени маршала бронетанковых войск П.П. Полубоярова";"ГБОУ школа № 982";"115304, г. Москва, ул.Кошкина, д.13, корп.2";"18.06.2015";"Математика";"6";"3";"62819670";
48;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1981»";"ГБОУ школа № 1981";"117042, г. Москва, ул. Бартеневская, д. 27";"03.06.2015";"Русский язык";"169";"3.88";"62819672";
49;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1133»";"ГБОУ школа № 1133";"121609, г. Москва, ул.Крылатские холмы, д.15, корп.1";"17.06.2015";"География";"1";"3";"62819673";
50;"Государственное бюджетное общеобразовательное учреждение города Москвы «Московский культурологический лицей № 1310»";"ГБОУ МКЛ № 1310";"111141, г. Москва, ул. Перовская, д. 44а";"10.06.2015";"Обществознание";"1";"5";"62819674";
51;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 967»";"ГБОУ школа № 967";"127642, г. Москва, Сухонская ул., д.13";"03.06.2015";"Русский язык";"90";"4.02";"62819675";
52;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2036»";"ГБОУ школа № 2036";"111675, г. Москва, ул. Татьяны Макаровой, дом 2";"05.06.2015";"География";"11";"3.91";"62819676";
53;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 399»";"ГБОУ школа № 399";"105425, г. Москва, ул. 5-я Парковая, д.49";"29.05.2015";"Химия";"2";"3.5";"62819677";
54;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 118»";"ГБОУ школа № 118";"119311, г. Москва, улица Строителей, дом 15";"27.05.2015";"Математика";"85";"3.66";"62819678";
55;"Государственное бюджетное общеобразовательное учреждение города Москвы «Лицей № 1574»";"ГБОУ лицей № 1574";"125047, г. Москва, 1-я Миусская ул., д.4";"29.05.2015";"Информатика";"12";"4.58";"62819681";
56;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1883 «Бутово»";"ГБОУ школа № 1883 «Бутово»";"117042, г. Москва, улица Поляны, дом 53";"14.09.2015";"Русский язык";"1";"2";"62819682";
57;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2129» имени Героя Советского Союза П.И. Романова";"ГБОУ школа № 2129";"115432, г. Москва, 2-й Южнопортовый пр., д.11, стр.1";"29.05.2015";"Обществознание";"38";"4.03";"62819685";
58;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 648»";"ГБОУ школа № 648";"125581, г. Москва, ул. Флотская, д. 11";"03.06.2015";"Русский язык";"79";"4.11";"62819686";
59;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 362»";"ГБОУ «Школа № 362»";"107150, г. Москва, ул. Ивантеевская, 32А";"05.06.2015";"Биология";"2";"3";"62819687";
60;"Государственное бюджетное общеобразовательное учреждение города Москвы школа с углубленным изучением отдельных предметов № 982 имени маршала бронетанковых войск П.П. Полубоярова";"ГБОУ школа № 982";"115304, г. Москва, ул.Кошкина, д.13, корп.2";"05.06.2015";"Физика";"10";"3.7";"62819688";
61;"Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1591»";"ГБОУ гимназия № 1591";"111672, г. Москва, ул.Новокосинская, д. 40 А";"05.06.2015";"Биология";"7";"3.57";"62819689";
62;"Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1554»";"ГБОУ гимназия № 1554";"127490, г. Москва, ул. Пестеля, д.5";"05.06.2015";"История";"6";"3";"62819691";
63;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением иностранных языков № 1387»";"ГБОУ школа № 1387";"125465, г. Москва, ул. Соколово-Мещерская, д.27";"29.05.2015";"Информатика";"20";"4.55";"62819692";
64;"Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия Марьина Роща имени В.Ф. Орлова»";"ГБОУ гимназия Марьина Роща имени В.Ф. Орлова";"127521, г. Москва, ул. Октябрьская, д. 81";"17.06.2015";"География";"1";"4";"62819693";
65;"Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1573»";"ГБОУ гимназия № 1573";"127253, г. Москва, ул. Псковская: д.11";"27.05.2015";"Математика";"119";"4.05";"62819695";
66;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 64»";"ГБОУ школа № 64";"121351, г. Москва, ул. Партизанская, д.30, корп.2, стр.2";"29.05.2015";"Информатика";"3";"4.33";"62819697";
67;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 492»";"ГБОУ школа № 492";"115407, г. Москва, ул.Затонная, д.7, корп.3";"18.06.2015";"Математика";"5";"3";"62819698";
68;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1195»";"ГБОУ школа № 1195";"121354, г. Москва, ул. Дорогобужская, д.13";"29.05.2015";"Литература";"5";"3.6";"62819699";
69;"Государственное автономное профессиональное образовательное учреждение города Москвы «Политехнический колледж № 8 имени дважды Героя Советского Союза И.Ф. Павлова»";"ГАПОУ ПК № 8 им. И.Ф. Павлова";"125284, г. Москва, 1-й Боткинский проезд, дом 7А";"27.05.2015";"Математика";"3";"3";"62819702";
70;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1103 имени Героя Российской Федерации А.В. Соломатина»";"ГБОУ школа № 1103";"117593, г. Москва, Литовский бульвар, дом 17, корпус 4";"18.06.2015";"Русский язык";"2";"3";"62819705";
71;"Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 2200»";"ГБОУ гимназия № 2200";"105215, г. Москва, ул. 11-ая Парковая, д.50";"05.06.2015";"Иностранный язык (английский язык)";"5";"4.2";"62819707";
72;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2121 «Образовательный комплекс имени Маршала Советского Союза С.К. Куркоткина»";"ГБОУ школа № 2121";"109386, г. Москва, ул. Ставропольская, дом 20";"14.09.2015";"Русский язык";"4";"2.25";"62819708";
73;"Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1596»";"ГБОУ гимназия № 1596";"119633, г. Москва, ул.Приречная, д.1";"03.08.2015";"Русский язык";"2";"2.5";"62819709";
74;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1130»";"ГБОУ школа № 1130";"121609, г. Москва, ул.Осенняя, д.8, корп.1 и 3";"27.05.2015";"Математика";"110";"3.67";"62819710";
75;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением отдельных предметов № 1234»";"ГБОУ школа № 1234";"121069, г. Москва, Большая Молчановка, д. 26-28";"05.06.2015";"Физика";"3";"3.33";"62819711";
76;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 17»";"ГБОУ школа № 17";"117279, г. Москва, ул. Введенского, д.28";"05.06.2015";"Физика";"1";"4";"62819715";
77;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 498»";"ГБОУ школа № 498";"115172, г. Москва, ул.Народная, д.11/2";"05.06.2015";"Физика";"29";"3.62";"62819716";
78;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 641 имени Сергея Есенина»";"ГБОУ школа № 641 имени С. Есенина";"109462, г. Москва, Волгоградский проспект, д.66, корпус 4";"29.05.2015";"Химия";"21";"4.33";"62819718";
79;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1000»";"ГБОУ школа № 1000";"119619, г. Москва, ул.Наро-Фоминская, д.1";"05.06.2015";"Иностранный язык (английский язык)";"6";"3.33";"62819719";
80;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2113»";"ГБОУ школа № 2113";"117535, г. Москва, улица Дорожная, дом 22А";"17.06.2015";"Иностранный язык (английский язык)";"1";"4";"62819720";
81;"Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1797 «Богородская»";"ГБОУ гимназия № 1797 «Богородская»";"107258, г. Москва, ул. 3-я Гражданская, д.64";"10.06.2015";"Информатика";"1";"5";"62819721";
82;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением отдельных предметов № 1794»";"ГБОУ школа № 1794";"127540, г. Москва, Керамический пр. д. 47А";"05.06.2015";"Иностранный язык (английский язык)";"7";"4.14";"62819723";
83;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 319»";"ГБОУ школа № 319";"105122, г. Москва, ул. Амурская, дом 6";"29.05.2015";"Обществознание";"45";"3.69";"62819725";
84;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углублённым изучением английского языка № 1285»";"ГБОУ школа № 1285";"125362, г. Москва, ул. Вишневая, д. 20, корп. 1";"10.06.2015";"Химия";"2";"4";"62819726";
85;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 19»";"ГБОУ школа № 19";"117418, г. Москва, ул. Новочеремушкинская, д. 48";"29.05.2015";"Информатика";"2";"5";"62819727";
86;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением иностранного языка № 1236»";"ГБОУ школа № 1236";"127254, г. Москва, ул. Яблочкова, дом 10";"17.06.2015";"География";"3";"4";"62819730";
87;"Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1636 «НИКА»";"ГБОУ «Гимназия № 1636 «НИКА»";"115583, г. Москва, Елецкая улица, дом 12 корпус3";"29.05.2015";"Обществознание";"49";"3.76";"62819732";
88;"Государственное бюджетное образовательное учреждение города Москвы специальная общеобразовательная школа № 1";"ГБОУ специальная школа № 1";"125239, г. Москва, Соболевский проезд, дом 17а";"03.06.2015";"Русский язык";"6";"3";"62819734";
89;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2126 «Перово»";"ГБОУ школа № 2126 «Перово»";"111524, г. Москва, ул.Плющева, д.11А";"05.06.2015";"Физика";"1";"3";"62819738";
90;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 547»";"ГБОУ школа № 547";"115191, г. Москва, ул.Малая Тульская, д.15";"03.06.2015";"Русский язык";"53";"3.83";"62819740";
91;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением математики № 1384 имени А.А. Леманского»";"ГБОУ школа № 1384 имени А.А. Леманского";"125252, г. Москва, ул.Новопесчаная, д.15";"14.09.2015";"Русский язык";"1";"2";"62819741";
92;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1925";"ГБОУ гимназия № 1925";"111673, г. Москва, ул. Новокосинская, д.13 А";"27.05.2015";"Математика";"47";"4.4";"62819742";
93;"Государственное бюджетное общеобразовательное учреждение города Москвы «Московский культурологический лицей № 1310»";"ГБОУ МКЛ № 1310";"111141, г. Москва, ул. Перовская, д. 44а";"18.06.2015";"Математика";"4";"3.25";"62819744";
94;"Государственное бюджетное общеобразовательное учреждение города Москвы «Лицей № 429 «Соколиная гора»";"ГБОУ лицей № 429 «Соколиная гора»";"105118, г. Москва, пр-т Буденного, д.15А";"05.06.2015";"Физика";"14";"3.5";"62819749";
95;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 374»";"ГБОУ школа № 374";"107564, г. Москва, Миллионная ул., д.5, корп.1";"05.06.2015";"Биология";"4";"3.25";"62819750";
96;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углублённым изучением английского языка № 1285»";"ГБОУ школа № 1285";"125362, г. Москва, ул. Вишневая, д. 20, корп. 1";"29.05.2015";"Информатика";"9";"4";"62819751";
97;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2045»";"ГБОУ школа № 2045";"124365, г. Москва, Зеленоград, корп. 2031";"29.05.2015";"Литература";"5";"4.4";"62819752";
98;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 19»";"ГБОУ школа № 19";"117418, г. Москва, ул. Новочеремушкинская, д. 48";"05.06.2015";"Биология";"2";"3";"62819754";
99;"Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия Марьина Роща имени В.Ф. Орлова»";"ГБОУ гимназия Марьина Роща имени В.Ф. Орлова";"127521, г. Москва, ул. Октябрьская, д. 81";"18.06.2015";"Математика";"7";"3";"62819755";
100;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением английского языка № 1324»";"ГБОУ школа № 1324";"111396, г. Москва, Федеративный просп., д.27";"10.06.2015";"Литература";"1";"3";"62819756";
101;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением английского языка № 1411»";"ГБОУ школа № 1411";"127566, г. Москва, Северный бульвар, д. 1 а";"10.06.2015";"Химия";"2";"3.5";"62819757";
102;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1692»";"ГБОУ школа № 1692";"124575, г. Москва, Зеленоград, корп. 1016";"05.06.2015";"Физика";"12";"4";"62819759";
103;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1194»";"ГБОУ школа № 1194";"124683, г. Москва, Зеленоград, корп. 1556";"05.06.2015";"Физика";"27";"4.04";"62819760";
104;"Государственное бюджетное общеобразовательное учреждение города Москвы «Лицей № 1560»";"ГБОУ лицей № 1560";"123423, г. Москва, ул. Тухачевского, д. 17, корп. 3";"10.06.2015";"Обществознание";"12";"4.08";"62819761";
105;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1133»";"ГБОУ школа № 1133";"121609, г. Москва, ул.Крылатские холмы, д.15, корп.1";"17.06.2015";"Биология";"1";"4";"62819762";
106;"Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 45 имени Л.И. Мильграма»";"ГБОУ гимназия № 45";"117036, г. Москва, ул. Гримау, д.8";"05.06.2015";"Физика";"4";"3.75";"62819763";
107;"Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1542»";"ГБОУ гимназия № 1542";"119620, г. Москва, ул. Авиаторов, дом 8, корпус 2";"17.06.2015";"Физика";"21";"3.76";"62819764";
108;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 947»";"ГБОУ школа № 947";"115372, г. Москва, ул.Лебедянская, д.16";"18.06.2015";"Русский язык";"1";"3";"62819767";
109;"Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1506»";"ГБОУ гимназия № 1506";"127282, г. Москва, ул. Широкая, д.1А";"05.06.2015";"Иностранный язык (английский язык)";"45";"4.49";"62819768";
110;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2009»";"ГБОУ школа № 2009";"117041, г. Москва, улица Адмирала Руднева, дом 16, корпус 1";"29.05.2015";"Обществознание";"59";"3.17";"62819769";
111;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 947»";"ГБОУ школа № 947";"115372, г. Москва, ул.Лебедянская, д.16";"10.06.2015";"Информатика";"1";"4";"62819770";
112;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 183»";"ГБОУ школа № 183";"127474, г. Москва, Дубнинская улица, дом 41";"17.06.2015";"Иностранный язык (английский язык)";"1";"5";"62819771";
113;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением английского языка № 1411»";"ГБОУ школа № 1411";"127566, г. Москва, Северный бульвар, д. 1 а";"29.05.2015";"Химия";"15";"4.53";"62819777";
114;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2123 имени Мигеля Эрнандеса»";"ГБОУ школа № 2123 им. М. Эрнандеса";"121069, г. Москва, Столовый пер., д.10/2, стр.1";"10.06.2015";"Обществознание";"1";"4";"62819780";
115;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1536";"ГБОУ гимназия № 1536";"119261, г. Москва, Ленинский пр-т, д.83А";"03.06.2015";"Русский язык";"44";"4.09";"62819781";
116;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 904»";"ГБОУ школа № 904";"115477, г. Москва, Кавказский б-р, д.16, корп.2";"18.06.2015";"Математика";"15";"3.07";"62819782";
117;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением иностранных языков № 1387»";"ГБОУ школа № 1387";"125465, г. Москва, ул. Соколово-Мещерская, д.27";"17.06.2015";"Иностранный язык (английский язык)";"8";"4.5";"62819784";
118;"Государственное бюджетное общеобразовательное учреждение города Москвы «Московская международная гимназия»";"ГБОУ ММГ";"111123, г. Москва, 3-я Владимирская улица дом 5";"18.06.2015";"Математика";"1";"3";"62819785";
119;"Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1554»";"ГБОУ гимназия № 1554";"127490, г. Москва, ул. Пестеля, д.5";"05.06.2015";"Биология";"17";"3.82";"62819786";
120;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2089»";"ГБОУ школа № 2089";"111674, г. Москва, ул.1-я Вольская, д. 9, к.3";"10.06.2015";"Обществознание";"7";"3.86";"62819787";
