ROWNUM;FullName;ShortName;LegalAddress;ExamDate;SubjectName;PassedQuantity;AVGScore;global_id;
5666;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 572 «Возможности»";"ГБОУ школа № 572";"109559, г. Москва, Тихорецкий бульвар, д. 8А";"05.06.2015";"Иностранный язык (английский язык)";"2";"3.5";"64167310";
5667;"Государственное бюджетное профессиональное образовательное учреждение города Москвы «Технологический колледж № 21»";"ГБПОУ ТК № 21";"107143, г. Москва, ул. Вербная, д. 4, стр. 1";"05.06.2015";"Биология";"7";"2.86";"64167311";
5668;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1253 с углубленным изучением иностранного языка»";"ГБОУ школа № 1253";"119021, г. Москва, Зубовский б-р, д.5, стр.1";"29.05.2015";"Химия";"51";"4.76";"64167312";
5669;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1454 «Центр образования Тимирязевский»";"ГБОУ школа № 1454 «Центр образования Тимирязевский»";"127422, г. Москва, улица Тимирязевская, дом 14 ""А""";"27.05.2015";"Математика";"6";"3";"64167313";
5670;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2127»";"ГБОУ школа № 2127";"111672, г. Москва, ул. Салтыковская, д.13Б";"10.06.2015";"Информатика";"1";"5";"64167314";
5671;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 329»";"ГБОУ школа № 329";"109456, г. Москва, 4-й Вешняковский проезд, д, 1, стр. 2";"27.05.2015";"Математика";"46";"3.5";"64167315";
5672;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением иностранного (английского) языка № 1245»";"ГБОУ школа № 1245";"117534, г. Москва, Кировоградская ул., д.42, корп.2";"17.06.2015";"Биология";"7";"4.14";"64167316";
5673;"Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1540»";"ГБОУ гимназия № 1540";"103055, г. Москва, Новослободская ул., д.57, стр.1";"05.06.2015";"Биология";"5";"4.2";"64167317";
5674;"Государственное бюджетное профессиональное образовательное учреждение города Москвы «Колледж градостроительства, транспорта и технологий № 41»";"ГБПОУ КГТиТ № 41";"121351, г. Москва, ул. Бобруйская, д.7";"27.05.2015";"Математика";"40";"3.63";"64167318";
5675;"Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1540»";"ГБОУ гимназия № 1540";"103055, г. Москва, Новослободская ул., д.57, стр.1";"29.05.2015";"Информатика";"23";"4.22";"64167319";
5676;"Государственное бюджетное общеобразовательное учреждение города Москвы «Лицей № 1525 «Красносельский»";"ГБОУ лицей № 1525 «Красносельский»";"107140, г. Москва, 2-й Красносельский переулок, дом 18";"17.06.2015";"Биология";"1";"4";"64167320";
5677;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением английского языка № 1246»";"ГБОУ школа № 1246";"107143, г. Москва, Открытое шоссе, д. 29 А";"05.06.2015";"Иностранный язык (английский язык)";"36";"4.39";"64167321";
5678;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением французского языка № 1251 имени генерала Шарля де Голля»";"ГБОУ школа № 1251 имени генерала Шарля де Голля";"125252, г. Москва, ул. Сальвадора Альенде, д. 9";"05.06.2015";"Биология";"15";"3.8";"64167322";
5679;"Государственное бюджетное общеобразовательное учреждение города Москвы «Лицей № 1580 при МГТУ имени Н.Э.Баумана»";"ГБОУ лицей № 1580";"117639, г. Москва, Балаклавский пр-т, д.6А";"29.05.2015";"Химия";"6";"4.33";"64167323";
5680;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2098 «Многопрофильный образовательный центр» имени Героя Советского Союза Л.М. Доватора»";"ГБОУ школа № 2098 имени Героя Советского Союза Л.М. Доватора";"125635, г. Москва, ул.Ангарская, д.22А";"03.08.2015";"Русский язык";"1";"4";"64167324";
5681;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением английского языка № 1352»";"ГБОУ школа № 1352";"107207, г. Москва, Щелковское ш., д.77А";"17.06.2015";"Иностранный язык (английский язык)";"1";"4";"64167325";
5682;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением экономики и информатики № 1355»";"ГБОУ школа № 1355";"117623, г. Москва, ул. Джанкойская, д.7";"17.06.2015";"Иностранный язык (английский язык)";"1";"4";"64167326";
5683;"Государственное бюджетное профессиональное образовательное учреждение города Москвы «Колледж индустрии гостеприимства и менеджмента № 23»";"ГБПОУ КИГМ № 23";"107564, г. Москва, Погонный проезд, д. 5";"03.08.2015";"Русский язык";"1";"3";"64167327";
5684;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1022»";"ГБОУ школа № 1022";"111621, г. Москва, Муромская ул., д.1А";"14.09.2015";"Русский язык";"7";"2.43";"64167328";
5685;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 166»";"ГБОУ школа № 166";"127572, г. Москва, Алтуфьевское ш., д.97, корп.3";"27.05.2015";"Математика";"102";"3.5";"64167329";
